X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
-98.061832770999956,26.043089252000073,27374,2015-11-20T23:00:00.000Z,Partially Verified,U.S./Mexico Border,1,,Salvadoran,Central America,Central America to United States,"Rio Grande, Tamaulipas, Mexico",,1,,38,Diario 1,http://bit.ly/1TqDCtS,,Yes,Drowning,,
-98.749998696999967,23.999998593000043,27375,,,,4,,,Central America,,"Tamaulipas, Mexico",,,,,Noticiero de San Vicente,http://bit.ly/1UhgxK7,,Yes,,,
98.448910568000088,8.11157389400006,27379,2015-01-01T17:01:00.000Z,Partially Verified,Southeast Asia,3,,Ethnic Rohingya,South East Asia,,"Island off the coast of Phang Nga, the mainland province north of Phuket, Thailand",,1,,,Phuket Wan - Tourism News,http://bit.ly/14qimAe,Occurred on unspecified date in January 2014,Yes,Beating/shot by traffickers,,
94.999995841000043,9.999999423000077,27767,2015-05-14T22:00:00.000Z,Partially Verified,Southeast Asia,10,,Reported as unspecified nationals of Rohingya,South East Asia,Bay of Bengal and Andaman Sea,Andaman Sea,,,,,BBC,http://bbc.in/1F9SIhx,Died on board stranded boat,Yes,Mixed,,
92.625167592000082,19.554608142000063,27768,2015-03-30T22:00:00.000Z,Verified,Southeast Asia,,130,Rohingya,South East Asia,Bay of Bengal and Andaman Sea,Bay of Bengal or Andaman Sea,,,,,Arakan Project,,"Departed from Rakhine State, Myanmar",Yes,Unknown - likely drowning,,
-107.185544874999948,29.351661665000051,29777,2016-01-01T23:00:00.000Z,Partially Verified,Central America incl. Mexico,3,,Honduras,Central America & Mexico,Central America to United States,Northern Mexico,,3,,'jovenes',Tiempo,bit.ly/1Sx35VI,"Note: date of death occurred on Jan 1, but is recorded as Jan 2 for technical reasons",,Unknown,,
23.000488281000059,43.144472842000027,29778,2016-01-19T23:00:00.000Z,Verified,Europe,1,,Unknown,MENA,Western Balkan,"Western Bulgaria, near Serbian border",,1,,,UNHCR,http://www.unhcr.org/56aa19556.html,,,"Exposure, Hypothermia",,
35.667495881000036,33.974996933000057,29779,2016-01-24T23:00:00.000Z,Partially Verified,Middle East ,1,,Syria,MENA,Other,"Masnaa, Lebanon",1,,,,Gulf News,bit.ly/1OK96Kl,,,Hypothermia,,
35.833328665000067,33.833327004000068,29780,2016-01-24T23:00:00.000Z,Partially Verified,Middle East,3,,Syria,MENA,Other,Lebanon,,,,,Gulf News,bit.ly/1OK96Kl,"Total Syrian refugees who have died of exposure in Lebanon in 2016 as of 25 January, as reported by Gulf News.",,Hypothermia,,
26.951335047000043,37.835235401000034,28166,2015-10-20T22:00:00.000Z,Verified,Mediterranean,,13,at least 4 Syrian,MENA,Eastern Mediterranean,"North of Samos, Greece",1,,2,,Hellenic Coast Guard,http://bit.ly/1XsWx9O,,Yes,Drowning,,
-100.508494207999945,28.711748182000065,28168,2015-07-20T22:00:00.000Z,Partially Verified,U.S./Mexico Border,3,,Mexican,Central America,Mexico to United States,"Rio Grande River near Eagle Pass, Texas",,3,1,"35, 32, 6",Eagle Pass Business Journal,http://bit.ly/1MHOaPv  and http://bit.ly/1CUWrln,,Yes,Drowning,,
-104.55379119,29.713205206000055,28170,2015-10-28T23:00:00.000Z,Partially Verified,U.S./Mexico Border,1,,Mexican,Central America,Mexico to United States,"Rio Grande, Mexico",,1,,,"Grupo Sieno, Twitter",bit.ly/1SuTiiO,,Yes,Drowning,,
-98.637639791999959,26.208719644000041,28171,2015-11-16T23:00:00.000Z,Partially Verified,U.S./Mexico Border,1,,Honduran,Central America,Central America to United States,"Rio Grande, near Tamaulipas, Mexico",,1,,38,La Prensa,http://www.laprensa.mx/notas.asp?id=402666,,Yes,Drowning,,
29.626296142000058,36.191017806000048,28566,2015-12-14T23:00:00.000Z,Partially Verified,Mediterranean,2,3,Syrian,MENA,Eastern Mediterranean,"Off the coast of Kas, Antalya, Turkey, likely en route to Kastelorizo/Megisti, Greece",2,,2,7 and 11,Hurriyet Daily News,http://bit.ly/1NUH2ov,,Yes,Drowning,,
26.213545788000033,38.376412975000051,28567,2015-12-18T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"En route to Chios, Greece",1,,1,2 years old,Hellenic Coast Guard via IOM Athens,http://www.hcg.gr/node/11694,,,Drowning,,
27.125851782000041,37.284760860000063,28568,2015-12-21T23:00:00.000Z,Verified,Mediterranean,13,1,Unknown,Middle East/ South Asia,Eastern Mediterranean,off the coast of Farmakonisi islands,2,4,7,,Hellenic Coast Guard via IOM Athens,,,Yes,Drowning,,
-98.629149087999963,24.150458048000075,28569,2015-11-27T23:00:00.000Z,Partially Verified,Central America incl. Mexico,4,,Unknown,Central America,Mexico to United States,"Tamaulipas, Mexico",,,,,Noticiero de San Vicente,http://bit.ly/1UhgxK7,,Yes,Vehicle accident,,
-98.331218261999936,26.144431940000061,28572,2015-06-06T22:00:00.000Z,Partially Verified,U.S./Mexico Border,1,,Mexican,Central America,Mexico to United States,"Rio Grande, near recreation centre La Playita in Reynosa, Tamaulipas, Mexico",,1,1,15,La Prensa,http://www.laprensa.mx/notas.asp?id=371404,,Yes,Drowning,,
